 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate
Ireland;906;983;16483;19123;4;2020;2020-4;-0.3
Italy;15165;28795;96799;201784;4;2020;2020-4;0.1
Latvia;13;13;466;813;4;2020;2020-4;-0.1
Lithuania;35;53;155;155;4;2020;2020-4;0.9
Luxembourg;58;75;1060;2899;4;2020;2020-4;-0.8
Malta;4;4;297;445;4;2020;2020-4;1.1
Netherlands;3835;4912;26824;37566;4;2020;2020-4;1
North Macedonia;55;61;1127;1386;4;2020;2020-4;-0.7
Norway;173;193;2952;7586;4;2020;2020-4;0.6
Poland;511;533;9692;11554;4;2020;2020-4;2.9
Portugal;856;1006;16937;22384;4;2020;2020-4;-0.1
Romania;585;668;9631;11641;4;2020;2020-4;2.3
Serbia;143;156;7301;8042;4;2020;2020-4;1.2
Slovakia;20;21;1015;1363;4;2020;2020-4;2.1
Slovenia;77;90;646;1403;4;2020;2020-4;-1.3
Spain;16569;25146;110839;219777;4;2020;2020-4;-0.7
Sweden;2318;2557;14924;18867;4;2020;2020-4;-0.2
Switzerland;1079;1336;14704;28978;4;2020;2020-4;-1
Turkey;2674;2805;100859;110130;4;2020;2020-4;10.9
United Kingdom;23079;26258;127575;156946;4;2020;2020-4;0.8
Austria;93;695;1371;16653;5;2020;2020-5;0.6
Belgium;1933;9323;10871;60890;5;2020;2020-5;-0.2
Bulgaria;84;140;1213;2513;5;2020;2020-5;1
Croatia;48;103;216;2239;5;2020;2020-5;-0.7
Cyprus;5;26;123;951;5;2020;2020-5;-1.4
Czechia;94;318;1886;9303;5;2020;2020-5;3.1
Denmark;51;183;2836;11970;5;2020;2020-5;-0.2
Estonia;14;135;222;7112;5;2020;2020-5;-1.8
Finland;124;313;1905;6640;5;2020;2020-5;-0.1
France;4325;18518;22262;146680;5;2020;2020-5;0.4
Germany;2146;8779;25250;182034;5;2020;2020-5;0.5
Greece;45;179;401;2961;5;2020;2020-5;-0.7
Hungary;244;528;1311;3887;5;2020;2020-5;2.2
Iceland;0;10;14;1820;5;2020;2020-5;0.9
Ireland;439;1422;5842;24965;5;2020;2020-5;-0.8
Italy;5419;34214;31684;233468;5;2020;2020-5;-0.3
Latvia;12;25;253;1066;5;2020;2020-5;-0.9
Lithuania;24;77;343;498;5;2020;2020-5;0.2
Luxembourg;15;90;55;2954;5;2020;2020-5;-1.6
Malta;5;9;170;615;5;2020;2020-5;0.9
Netherlands;1139;6051;8630;46196;5;2020;2020-5;1.1
North Macedonia;72;133;840;2226;5;2020;2020-5;-0.7
Norway;43;236;852;8438;5;2020;2020-5;1.1
Poland;530;1063;12230;23784;5;2020;2020-5;3.4
Portugal;426;1432;10525;32909;5;2020;2020-5;-0.6
Romania;619;1287;8014;19655;5;2020;2020-5;1.8
Serbia;87;243;3370;11412;5;2020;2020-5;1.1
Slovakia;13;34;136;1499;5;2020;2020-5;2.1
Slovenia;23;113;70;1473;5;2020;2020-5;-1.4
Spain;4025;29171;26870;246647;5;2020;2020-5;-0.9
Sweden;2064;4621;19793;38660;5;2020;2020-5;0.1
Switzerland;320;1656;1801;30779;5;2020;2020-5;-1
Turkey;1735;4540;53812;163942;5;2020;2020-5;11.4
United Kingdom;11961;38219;99496;256442;5;2020;2020-5;0.5
Austria;36;731;982;17635;6;2020;2020-6;1.1
Belgium;76;216;2112;4625;6;2020;2020-6;0.2
Bulgaria;148;383;18919;61475;6;2020;2020-6;0.9
Croatia;25;1681;755;31534;6;2020;2020-6;-0.4
Cyprus;3;29;49;1000;6;2020;2020-6;-2.2
Czechia;28;346;2347;11650;6;2020;2020-6;3.4
Denmark;304;9083;12046;194080;6;2020;2020-6;0.2
Estonia;30;213;1044;13014;6;2020;2020-6;-1.6
Finland;2;137;120;7232;6;2020;2020-6;0.1
France;12;325;228;6868;6;2020;2020-6;0.2
Germany;0;0;0;187;6;2020;2020-6;0.8
Greece;3;15;143;926;6;2020;2020-6;-1.9
Hungary;12;191;488;3449;6;2020;2020-6;2.9
Iceland;4;107;445;2684;6;2020;2020-6;0.3
Ireland;57;585;258;4145;6;2020;2020-6;-0.6
Italy;64;1486;447;25412;6;2020;2020-6;-0.4
Latvia;2;31;11;319;6;2020;2020-6;-1.1
Lithuania;1;78;140;638;6;2020;2020-6;0.9
Luxembourg;2;92;182;3136;6;2020;2020-6;-0.4
Malta;5;30;50;1116;6;2020;2020-6;1
Netherlands;0;9;52;667;6;2020;2020-6;1.7
North Macedonia;2;11;157;481;6;2020;2020-6;2.3
Norway;131;6182;3718;49914;6;2020;2020-6;1.3
Poland;13;249;419;8857;6;2020;2020-6;3.8
Portugal;375;1438;10123;33907;6;2020;2020-6;0.2
Romania;139;1571;9285;42194;6;2020;2020-6;2.2
Serbia;0;42;27;698;6;2020;2020-6;1.8
Slovakia;27;270;2634;14046;6;2020;2020-6;1.8
Slovenia;0;34;149;1648;6;2020;2020-6;-0.8
Spain;0;113;111;1584;6;2020;2020-6;-0.3
Sweden;818;5439;27672;66332;6;2020;2020-6;0.9
Switzerland;557;5097;33297;197239;6;2020;2020-6;-1.3
Turkey;421;1129;19310;42982;6;2020;2020-6;12.6
United Kingdom;19;49;1594;2677;6;2020;2020-6;0.6
Austria;11;742;2892;20527;7;2020;2020-7;1.8
Belgium;122;338;5687;10312;7;2020;2020-7;1.7
Bulgaria;151;534;5657;67132;7;2020;2020-7;0.4
Croatia;19;1700;2791;34325;7;2020;2020-7;-0.6
Cyprus;0;29;65;1065;7;2020;2020-7;-2
Czechia;26;372;3712;15362;7;2020;2020-7;3.6
Denmark;135;9218;12092;206172;7;2020;2020-7;0.4
Estonia;9;222;808;13822;7;2020;2020-7;-1.3
Finland;0;137;42;7274;7;2020;2020-7;0.7
France;6;331;164;7032;7;2020;2020-7;0.9
Germany;0;0;4;191;7;2020;2020-7;0
Greece;1;16;211;1137;7;2020;2020-7;-2.1
Hungary;11;202;881;4330;7;2020;2020-7;3.9
Iceland;29;136;2166;4850;7;2020;2020-7;-0.1
Ireland;11;596;303;4448;7;2020;2020-7;-0.6
Italy;17;1503;462;25874;7;2020;2020-7;0.8
Latvia;0;31;13;332;7;2020;2020-7;0.1
Lithuania;1;79;203;841;7;2020;2020-7;0.9
Luxembourg;2;94;1727;4863;7;2020;2020-7;0.1
Malta;1;31;103;1219;7;2020;2020-7;0.7
Netherlands;0;9;30;697;7;2020;2020-7;1.6
North Macedonia;29;40;2088;2569;7;2020;2020-7;2
Norway;32;6214;2954;52868;7;2020;2020-7;1.4
Poland;6;255;279;9136;7;2020;2020-7;3.7
Portugal;233;1671;9158;43065;7;2020;2020-7;-0.1
Romania;153;1724;8845;51039;7;2020;2020-7;2.5
Serbia;0;42;1;699;7;2020;2020-7;2.2
Slovakia;264;534;9684;23730;7;2020;2020-7;1.8
Slovenia;1;35;522;2170;7;2020;2020-7;-0.3
Spain;5;118;504;2088;7;2020;2020-7;-0.7
Sweden;269;5708;9396;75728;7;2020;2020-7;0.7
Switzerland;516;5613;28861;226100;7;2020;2020-7;-1.2
